time,altitude,phase_angle,airspeed,ergy,expected_ergy
3988271.75555935,32967.9504026746,-51.7790162932341,1936.82391594333,2182079.80967366,2821590
3988281.73555936,31224.3369457767,-53.5040016510951,1890.61445052646,2078238.52100739,2821590
3988291.79555937,29314.1475117066,-55.1968103709187,1827.5614384141,1944037.81552421,2821590
3988301.77555938,27252.5152436473,-56.8120666891431,1741.27153903812,1771618.96532481,2821590
3988311.75555939,25015.1509323359,-58.3372247655047,1622.75147650991,1552115.53303952,2821590
3988321.73555939,22602.016166526,-59.7383972436462,1465.30693275932,1287120.24317381,2821590
3988331.7955594,20015.3120591166,-60.9845545946242,1262.84692745355,987289.595202997,2821590
3988341.77555941,17356.9262370426,-62.015045716485,1024.5478893356,690227.363821207,2821590
3988351.75555942,14717.2342695921,-62.8094368696674,766.41050154071,434515.569927733,2821590
3988361.73555943,12242.2435469959,-63.3615306491463,524.700516844035,255265.82222748,2821590
3988371.79555944,10063.6176323723,-63.7001653971926,311.793629392134,145634.195931325,2821590
3988381.73555945,8286.82334456046,-63.8833191543425,244.258927426429,109956.568838432,2821590
3988391.73555946,6487.31179510104,-63.9818248537819,226.3153388479,88512.4382404578,2821590
3988401.73555947,4765.62826053402,-64.0082037496515,206.849012815904,67728.6819042991,2821590
3988411.73555948,3211.74486846116,-63.713752401568,186.109090034596,48619.2926303337,2821590
3988421.73555949,1798.74929507321,-63.345005510353,169.422517410763,31913.6489447805,2821590
3988431.7355595,540.656723866006,-63.3778471446117,153.275331637655,17021.0301730228,2821590
3988441.73555951,52.6061712809606,-64.3988788774995,8.14932282312042,547.471268550735,2821590
3988451.73555952,22.156901855953,-64.3997455595449,0.686978136472194,217.381447358378,2821590
3988461.73555953,19.7890486704418,-64.3996161183674,0.222543931081072,194.077720512065,2821590
3988471.73555953,2.04328618641011,-64.3993712447777,0.233864496428042,20.0363601843378,2821590
3988481.73555954,1.50454118766356,-64.3993768900031,0.00304227477474158,14.7545522145207,2821590
